sp,Latin,Family (subfamily)
Ama,Acacia mangium,Fabaceae (Mimosoideae)
Aad,Albizia adinocephala,Fabaceae (Mimosoideae)
Agr,Astronium graveolens,Anacardiaceae
Bal,Brosimum alicastrum,Moraceae
Cbr,Calophyllum brasiliense,Calophyllaceae
Cca,Calycophyllum candidissimum,Rubiaceae
Cgr,Cassia grandis,Fabaceae (Caesalpinioideae)
Cmo,Cassia moschata,Fabaceae (Caesalpinioideae)
Cod,Cedrela odorata,Meliaceae
Ctr,Cinnamomum triplinerve,Lauraceae
Cgl,Colubrina glandulosa,Rhamnaceae
Car,Copaifera aromatica,Fabaceae (Caesalpinioideae)
Cal,Cordia alliodora,Boraginaceae
Dre,Dalbergia retusa,Fabaceae (Faboideae)
Dam,Diphysa americana,Fabaceae (Faboideae)
Dol,Dipteryx oleifera,Fabaceae (Faboideae)
Ecy,Enterolobium cyclocarpum,Fabaceae (Mimosoideae)
Efu,Erythrina fusca,Fabaceae (Faboideae)
Gse,Gliricidia sepium,Fabaceae (Faboideae)
Gul,Guazuma ulmifolia,Malvaceae
Gsu,Gustavia superba,Lecythidaceae
Hcr,Hura crepitans,Euphorbiaceae (Euphorbioideae)
Ipu,Inga punctata,Fabaceae (Mimosoideae)
Isp,Inga sp,Fabaceae (Mimosoideae)
Lse,Luehea seemannii,Malvaceae
Mca,Muntingia calabura,Muntingiaceae
Opy,Ochroma pyramidale,Malvaceae
Oma,Ormosia macrocalyx,Fabaceae (Faboideae)
Pqu,Pachira quinata,Malvaceae
Ppu,Peltogyne purpurea,Fabaceae (Caesalpinioideae)
Pte,Protium tenuifolium,Burseraceae
Pgu,Pseudosamanea guachapele,Fabaceae (Mimosoideae)
Pof,Pterocarpus officinalis,Fabaceae (Faboideae)
Pro,Pterocarpus rohrii,Fabaceae (Faboideae)
Ssn,Samanea saman,Fabaceae (Mimosoideae)
Ssa,Sapindus saponaria,Sapindaceae (Sapindoideae)
Sgl,Sapium glandulosum,Euphorbiaceae (Euphorbioideae)
Smo,Spondias mombin,Anacardiaceae (Spondioideae)
Sma,Swietenia macrophylla,Meliaceae
Tgu,Tabebuia guayacan,Bignoniaceae
Tim,Tabebuia impetiginosa,Bignoniaceae
Tro,Tabebuia rosea,Bignoniaceae
Tgr,Tectona grandis,Lamiaceae
Tam,Terminalia amazonia,Combretaceae
Thi,Trichilia hirta,Meliaceae
Vfe,Vochysia ferruginea,Vochysiaceae
Vgu,Vochysia guatemalensis,Vochysiaceae
Xfr,Xylopia frutescens,Annonaceae
Zlo,Zygia longifolia,Fabaceae (Mimosoideae)
