GENUS,SPECIES,WSG,SEEDMASS,HEIGHT,LMA,pft,RGR95SAP,MRT25SAP
Croton,billbergianu,0.478,,20.5,35.0,e,0.34,79.8
Miconia,argentea,0.697,,20.2,56.5,e,0.267,79.4
Inga,marginata,0.486,,24.3,52.2,e,0.223,64.2
Cordia,bicolor,0.373,0.016216,24.8,41.8,e,0.26,61.6
Ocotea,whitei,0.426,,32.3,68.3,e,0.169,52.8
Zanthoxylum,panamense,0.552,0.001300,28.2,38.4,e,0.202,51.9
Simarouba,amara,0.390,0.111140,30.1,42.7,e,0.216,47.8
Ocotea,puberula,0.389,0.034480,26.8,49.4,e,0.175,46.8
Poulsenia,armata,0.315,0.008913,36.2,55.8,e,0.185,39.9
Nectandra,cissiflora,0.421,,19.5,71.1,e,0.176,38.2
Inga,sapindoides,0.612,0.406354,20.7,51.3,e,0.163,37.3
Zanthoxylum,acuminatum,0.579,,23.2,68.6,e,0.206,34.7
Guatteria,dumetorum,0.446,0.040030,34.6,49.9,e,0.157,33.3
Tabebuia,rosea,0.489,0.018505,40.4,37.3,e,0.137,33.1
Hasseltia,floribunda,0.565,0.011230,15.0,47.3,e,0.128,32.4
Tachigali,versicolor,0.582,0.105295,32.6,44.9,me,0.121,31.7
Unonopsis,pittieri,0.428,0.724820,22.2,50.3,me,0.16,30.3
Guarea,bullata,0.668,,17.2,76.1,me,0.097,29.6
Eugenia,oerstediana,0.656,,16.7,54.4,me,0.129,29.4
Lonchocarpus,heptaphyllus,0.666,0.045275,30.6,42.2,me,0.131,28.8
Pouteria,reticulata,0.761,,32.0,50.7,me,0.104,28.1
Lacistema,aggregatum,0.558,0.011052,16.3,51.1,me,0.11,27.5
Inga,goldmanii,0.557,0.499075,22.8,51.9,me,0.118,27.1
Trichilia,pallida,0.573,0.054078,16.7,50.9,me,0.139,26.8
Eugenia,coloradoensi,0.693,0.085297,21.9,84.8,me,0.111,26.2
Beilschmiedi,pendula,0.528,3.876056,34.2,69.8,me,0.115,26.2
Pterocarpus,rohrii,0.496,0.172620,20.3,27.3,me,0.129,25.4
Calophyllum,longifolium,0.541,1.950110,36.4,85.6,me,0.131,24.6
Protium,costaricense,0.452,,16.4,45.9,me,0.156,23.1
Virola,sebifera,0.487,0.111661,30.5,60.1,me,0.143,22.9
Guarea,guidonia,0.560,,20.2,56.2,ml,0.119,22.1
Garcinia,madruno,0.649,,16.4,105.1,ml,0.11,22.0
Licania,platypus,0.682,4.502960,19.2,70.1,ml,0.101,21.5
Trichilia,tuberculata,0.692,0.109507,29.3,57.8,ml,0.099,21.0
Inga,nobilis,0.645,0.172580,15.2,60.9,ml,0.132,20.7
Protium,tenuifolium,0.586,0.098637,20.5,59.9,ml,0.127,20.6
Alseis,blackiana,0.578,0.000049,28.6,39.6,ml,0.105,19.9
Tabernaemont,arborea,0.538,0.068031,28.1,32.9,ml,0.142,19.8
Trophis,racemosa,0.631,,18.4,45.1,ml,0.105,19.7
Chrysophyllu,argenteum,0.736,0.075110,23.2,64.5,ml,0.13,19.0
Tetragastris,panamensis,0.589,0.294750,31.3,74.8,ml,0.111,18.6
Symphonia,globulifera,0.545,1.028950,28.0,57.9,ml,0.116,18.0
Quararibea,asterolepis,0.468,0.079973,33.5,47.8,ml,0.104,17.7
Hirtella,triandra,0.606,0.188107,22.7,50.9,ml,0.124,17.4
Eugenia,nesiotica,0.732,0.340890,21.1,53.9,ml,0.097,15.5
Andira,inermis,0.683,0.469267,20.8,45.2,l,0.092,14.8
Drypetes,standleyi,0.618,0.067596,28.7,80.1,l,0.098,14.3
Protium,panamense,0.447,0.079495,19.2,64.7,l,0.113,13.9
Faramea,occidentalis,0.609,0.193216,15.7,63.7,l,0.122,13.3
Eugenia,galalonensis,0.636,0.088920,16.1,63.8,l,0.104,12.8
Licania,hypoleuca,0.836,0.084700,17.8,60.9,l,0.109,12.5
Sloanea,terniflora,0.815,,34.1,54.1,l,0.079,12.2
Aspidosperma,spruceanum,0.770,0.453950,38.6,92.7,l,0.088,11.4
Xylopia,macrantha,0.840,0.116775,19.8,67.0,l,0.142,10.2
Maquira,guianensis,0.643,,15.3,57.2,l,0.125,10.0
Cassipourea,elliptica,0.660,0.003657,24.0,75.4,l,0.112,9.4
Garcinia,intermedia,0.654,0.541000,15.9,102.2,l,0.097,9.4
Swartzia,simplex_var.,0.773,,17.1,76.3,l,0.088,8.9
Prioria,copaifera,0.391,22.869184,35.5,77.8,l,0.105,8.8
Heisteria,concinna,0.719,0.179125,17.9,101.1,l,0.125,7.7
Brosimum,alicastrum,0.672,0.701005,37.4,48.1,l,0.114,5.5
